"","interval","meanP","meanPET","meanSF","siteID","group","PET.P","AET.P"
"270",2000,1.16952033249608,1.99275285935977,0.0206757012989125,"07144300","Impacted",1.70390612628912,0.982321212616471
"271",2005,1.31822936598767,1.94761905343277,0.0255842053739944,"07144300","Impacted",1.47745081674276,0.980591992536272
"272",2010,1.08475409051538,2.02410647975052,0.0123673455308065,"07144300","Impacted",1.86595883569228,0.988598940866929
"273",2015,1.38575038478332,1.98989245477544,0.0272329161169738,"07144300","Impacted",1.43596745606286,0.98034789207637
"274",2020,0.998552742249017,2.0156332674048,0.0166268276077826,"07144300","Impacted",2.0185546362479,0.983349074210808
"275",1990,1.37096976388223,1.90001539364918,0.0262904982049059,"07144550","Impacted",1.38589153729316,0.980823429591577
"276",1995,1.46675001852405,1.90260970302592,0.0379642489822507,"07144550","Impacted",1.29716016976121,0.974116755750613
"277",2000,1.1779917790425,1.99569199066925,0.0241059975672151,"07144550","Impacted",1.69414763852715,0.97953636180143
"278",2005,1.32803565272475,1.95057576685722,0.0309807927145443,"07144550","Impacted",1.46876762145293,0.97667171611622
"279",2010,1.09180319633998,2.02742768823033,0.0168176130821706,"07144550","Impacted",1.85695342807826,0.984596479348524
"280",2015,1.39513904010196,1.9931618559155,0.0383004244504827,"07144550","Impacted",1.42864746711542,0.972547234827804
"281",2020,1.00601644686839,2.01826094227421,0.019698714592838,"07144550","Impacted",2.00619080190667,0.980419092894398
"282",1990,2.01200189173375,2.36789306664586,0.394442977616717,"07145700","Reference",1.1768841154545,0.803954966823205
"283",1995,2.56156024039929,2.35887760282989,0.625255669133221,"07145700","Reference",0.920875318732379,0.755908270564132
"284",2000,2.37053396870968,2.4404537350374,0.530865098411378,"07145700","Reference",1.0294953657069,0.776056742734492
"285",2005,2.70674331731336,2.40605779150376,0.734626944980885,"07145700","Reference",0.888912434405473,0.728593790079047
"286",2010,1.9261096143641,2.51796497136161,0.195826507979263,"07145700","Reference",1.30728020491862,0.898330548521812
"287",2015,2.71694618179025,2.45355215143849,0.691278672354425,"07145700","Reference",0.903055116764143,0.745567771276601
"288",2020,1.97806183762088,2.37317486392658,0.33227629136956,"07145700","Reference",1.19974756035986,0.832019259939211
"289",1990,1.40971998516061,1.92701518036162,0.0408987626067501,"07146500","Impacted",1.36694889811191,0.970988023836457
"290",1995,1.52450165310423,1.92878652141582,0.0636843835480705,"07146500","Impacted",1.26519149224166,0.958226097414591
"291",2000,1.24361033590696,2.02074238855669,0.0462874888092165,"07146500","Impacted",1.62489996280304,0.96277974903171
"292",2005,1.39593087140213,1.97648968811534,0.0594488516994338,"07146500","Impacted",1.41589367253557,0.957412753799391
"293",2010,1.14712432944935,2.0546205283865,0.0286323340371089,"07146500","Impacted",1.79110535417967,0.975039903433263
"294",2015,1.46670453010207,2.01826333490489,0.0671889061578102,"07146500","Impacted",1.37605311327731,0.954190564780533
"295",2020,1.07315994767881,2.03644171230739,0.0331589336763584,"07146500","Impacted",1.89761248238168,0.969101592220172
"296",1990,1.68401009396184,2.32240650958811,0.0887569234619392,"07148400","Reference",1.37909298638725,0.947294304363029
"297",1995,2.05119297440725,2.31245687849766,0.188527202333745,"07148400","Reference",1.12737168435647,0.908088997629184
"298",2000,1.84026520628402,2.38569532148372,0.117685498943595,"07148400","Reference",1.29638669107974,0.936049707106492
"299",2005,1.8143198048636,2.35516686927095,0.0800538970798529,"07148400","Reference",1.29809907986316,0.955876633840818
"300",2010,1.52492764079629,2.45381699357142,0.0371594049177515,"07148400","Reference",1.60913667502943,0.975632020875202
"301",2015,2.11788548195453,2.38013432116612,0.129714969604015,"07148400","Reference",1.12382578824308,0.938752604562781
"302",2020,1.82180088417606,2.31388203502316,0.0796054571704492,"07148400","Reference",1.27010698870621,0.95630397489545
"303",1990,1.76650306773007,2.2888186252204,0.133618322004936,"07149000","Reference",1.29567769625303,0.924359983038901
"304",1995,2.138354858436,2.28207085360471,0.306851826204932,"07149000","Reference",1.06720867427674,0.856500980183727
"305",2000,1.9279664367223,2.35594765143301,0.159669926605168,"07149000","Reference",1.22198582224197,0.917182206306132
"306",2005,1.9055038576349,2.33464604483578,0.143055545176398,"07149000","Reference",1.22521192254816,0.924925082359078
"307",2010,1.60272865599106,2.42672638017325,0.073560943079526,"07149000","Reference",1.51412178917626,0.95410268431618
"308",2015,2.17195013600223,2.33723568901885,0.195857433223644,"07149000","Reference",1.07610006798814,0.909824157572905
"309",2020,1.85177102205649,2.26498417496249,0.130671906582153,"07149000","Reference",1.22314484241529,0.929434090378499
"310",1990,1.90668698455279,2.35232387320257,0.245294857948449,"07151500","Reference",1.23372315029166,0.871350221648478
"311",1995,2.40050036099046,2.33347398535226,0.450068949276934,"07151500","Reference",0.972078164732894,0.812510359677166
"312",2000,2.19853315212954,2.39907140432149,0.381399636968491,"07151500","Reference",1.09121456822141,0.826520861603082
"313",2005,2.34843391711951,2.37114683882555,0.434007110870155,"07151500","Reference",1.0096715183427,0.815192964253178
"314",2010,1.8701246707653,2.46342930205561,0.132945677796687,"07151500","Reference",1.31725405293302,0.928910794090384
"315",2015,2.50164573217904,2.39579870442772,0.41792837335683,"07151500","Reference",0.957689041901583,0.832938625968915
"316",2020,2.08145144037958,2.30460295035647,0.221019607206767,"07151500","Reference",1.1072095681157,0.893814670417456
