"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"91",2006,130.8,76.9217808219178,46.7225718773703,1.77,10.5,60.1,220.2
"92",2007,250.8,165.840273972603,141.752666560886,48.9142857142857,74.14,121,525
"93",2008,163.5,116.906830601093,105.886374145928,41.3428571428571,60.7,96.55,372.75
"94",2009,197.2,131.745205479452,108.741124412371,54.4142857142857,73.14,96.3,449.8
"95",2010,210.8,131.809863013699,119.740700440271,40.3714285714286,46.82,99.6,540.6
"96",2011,118.2,74.0695890410959,56.5774051967819,10.9857142857143,24.06,54.4,281.600000000001
"97",2012,79.5,24.328087431694,22.8005572523257,0.0457142857142857,0.12,1.095,84.85
"98",2013,24.06,7.76594520547945,4.05688625020514,0,0.15,0.77,33.56
"99",2014,163.4,77.8460273972603,61.434968301126,0.277142857142857,11.42,43.7,340.6
"100",2015,571.6,181.839452054795,154.081946016447,26.9571428571429,46.4,123,672
"101",2016,512.5,193.034426229508,129.922419008587,76.9285714285714,87.05,121,582.25
"102",2017,457,224.246301369863,193.257242907142,87.3714285714286,102.4,165,519.8
"103",2018,478.2,203.983287671233,172.372107197217,70.9285714285714,98.84,154,576.4
"104",2019,471.6,187.415616438356,171.695762616379,79.4714285714286,101,125,507.8
"105",2020,218,98.8191256830601,88.144851333825,24.5714285714286,31.35,73.15,299.25
"106",2021,209.6,84.1443835616438,NA,22.2714285714286,28.34,59.1,250.2
